placeID,latitude,longitude,name,address,city,state,country,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services
134999,18.915421,-99.184871,Kiku Cuernavaca,Revolucion,Cuernavaca,Morelos,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
132825,22.1473922,-100.983092,puesto de tacos,esquina santos degollado y leon guzman,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,none
135106,22.149708800000003,-100.97609279999999,El Rinc�n de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,none
132667,23.7526973,-99.1633594,little pizza Emilio Portes Gil,calle emilio portes gil,Ciudad Victoria,Tamaulipas,Mexico,No_Alcohol_Served,none,informal,completely,low,familiar,t,closed,none
132613,23.7529035,-99.165076,carnitas_mata,lic. Emilio portes gil,Ciudad Victoria,Tamaulipas,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,familiar,t,closed,none
135040,22.135617,-100.969709,Restaurant los Compadres,Camino a Simon Diaz 155 Centro,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,informal,no_accessibility,high,familiar,f,closed,none
132732,23.754356899999998,-99.171288,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Ciudad Victoria,Tamaulipas,Mexico,No_Alcohol_Served,none,casual,completely,low,familiar,f,open,none
132875,22.1499013,-100.9937793,shi ro ie,?,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,section,informal,no_accessibility,high,familiar,t,open,Internet
132609,23.760268300000003,-99.16586459999999,Pollo_Frito_Buenos_Aires,tampico,Ciudad Victoria,Tamaulipas,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,quiet,t,closed,none
135082,22.151448000000002,-100.915099,la Estrella de Dimas,Villa de Pozos 192 Villa de Pozos,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
135070,22.152918,-100.915164,Restaurante 75,Villa de Pozos 4497 Villa de Pozos,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
135069,22.140129,-100.944872,Abondance Restaurante Bar,Industrias 908 Valle Dorado,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,informal,no_accessibility,low,familiar,f,closed,none
135065,22.14958,-100.999557,El angel Restaurante,Venustiano Carranza 1625 Jardin,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,section,informal,no_accessibility,high,familiar,f,closed,none
135076,22.181017,-100.973614,Restaurante Pueblo Bonito,Mexico 2015 Providencia,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,informal,no_accessibility,high,familiar,f,closed,none
135086,22.141420999999998,-101.01395500000001,Mcdonalds Parque Tangamanga,Lateral Salvador Nava Martinez 3145,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,t,closed,none
132870,22.1430781,-100.9354788,Tortas y hamburguesas el gordo,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,f,closed,none
132854,22.1378633,-100.9383273,Sirlone,carr. mexico,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,informal,completely,medium,familiar,f,closed,none
132937,22.1500193,-100.9799203,rockabilly ,agustin de iturbide,San Luis Potosi,San Luis Potosi,Mexico,Full_Bar,section,informal,completely,low,quiet,f,closed,variety
132856,22.1513782,-100.97463370000001,Unicols Pizza,Plaza del Carmen,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,informal,completely,low,familiar,f,closed,none
132668,23.738212,-99.1519547,TACOS EL GUERO,?,Ciudad Victoria,Tamaulipas,Mexico,No_Alcohol_Served,none,informal,completely,low,familiar,f,closed,none
135033,22.14161,-100.97314200000001,Restaurant El Muladar de Calzada,De Guadalupe 460 San Miguelito,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,section,informal,no_accessibility,medium,familiar,f,closed,none
132862,22.150642899999998,-100.9870148,La Posada del Virrey,Av. V. Carranza,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,casual,completely,high,familiar,f,closed,none
134983,18.948657,-99.235361,Restaurant and Bar and Clothesline Carlos N Charlies,Domingo 10 711 El Empleado,Cuernavaca,Morelos,Mexico,Full_Bar,section,informal,no_accessibility,high,familiar,f,closed,none
132851,22.136872,-100.9345736,KFC,?,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,familiar,f,closed,none
135013,18.917441,-99.165945,Giovannis,40 Norte Civac 1RA. Seccion,Jiutepec,Morelos,Mexico,No_Alcohol_Served,none,informal,no_accessibility,low,familiar,f,closed,none
135042,22.159357,-100.973411,Restaurant Oriental Express,Tangamanga 7 Tangamanga,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
132768,18.9257734,-99.2326355,Mariscos Tia Licha,avenida salvador montiel ,Cuernavaca,Morelos,Mexico,No_Alcohol_Served,not permitted,casual,partially,medium,familiar,t,closed,none
132561,23.726819,-99.1265059,cafe ambar,?,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,completely,low,familiar,f,closed,none
135045,22.151189000000002,-100.98179,Restaurante la Gran Via,Venustiano Carranza 560 Centro,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,casual,no_accessibility,high,familiar,f,closed,none
132847,22.144336499999998,-100.9373825,don burguers,r.b. anaya esq. florencia,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,low,familiar,f,open,none
135054,22.140626,-100.915657,Restaurante y Pescaderia Tampico,Ricardo B. Anaya 2700 Estrella de Oriente,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,high,familiar,f,closed,none
134975,18.940828,-99.21542600000001,Rincon del Bife,?,San Luis Potosi,San Luis Potosi,Mexico,Full_Bar,section,informal,completely,high,familiar,f,closed,variety
135053,22.178931,-101.012861,La Fontana Pizza Restaurante and Cafe,Satelite 606 Satelite,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,f,closed,none
135050,22.174887,-100.970825,Restaurante la Estrella de Dima,Soledad Sn Arboledas de Soledad,Soledad,San Luis Potosi,Mexico,Wine-Beer,none,informal,no_accessibility,high,familiar,f,closed,none
135025,22.14955,-100.97797,El Rincon de San Francisco,1a. de Lozada 1,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
135030,22.147879999999997,-100.98947199999999,Preambulo Wifi Zone Cafe,Anahuac 805,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,quiet,f,closed,Internet
135057,22.145992,-100.955118,El Herradero Restaurante and Bar,Costado Sur Central Camionera Km 2,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,section,informal,no_accessibility,medium,familiar,f,closed,none
135079,22.156376,-100.998355,Koye Sushi,Nereo Rodriguez Barragan 450 E Centro,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,high,familiar,f,closed,none
134992,18.936683,-99.247366,Restaurant Teely,La Pradera,Cuernavaca,Morelos,Mexico,Wine-Beer,section,casual,no_accessibility,high,familiar,f,closed,none
132954,22.160380800000002,-100.9880447,la parroquia,venustiano carranza,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,partially,medium,familiar,t,closed,none
135041,22.15106,-100.977659,Luna Cafe,Francisco I. Madero 215,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,none,informal,no_accessibility,medium,familiar,f,closed,none
132608,23.7588052,-99.16512970000001,Hamburguesas La perica,cd. mier,Ciudad Victoria,Tamaulipas,Mexico,No_Alcohol_Served,permitted,informal,completely,low,quiet,t,open,none
135046,22.141282,-101.00295799999999,Restaurante El Reyecito,Agricultura 595 del Valle,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
132564,23.7309245,-99.1451848,churchs,?,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,completely,low,familiar,f,closed,none
132869,22.1412384,-100.9239252,Dominos Pizza,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,f,closed,none
132925,22.1534997,-100.97624300000001,el pueblito,?,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,not permitted,informal,completely,medium,familiar,f,closed,none
132955,22.147622,-101.01027490000001,emilianos,venustiano carranza,San Luis Potosi,Mexico,Mexico,Wine-Beer,none,informal,completely,low,familiar,t,closed,variety
135059,22.145108,-100.989547,Restaurant Bar Hacienda los Martinez,Santos Degollado 745 los Alamitos,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,section,informal,no_accessibility,medium,familiar,f,closed,none
135001,18.941859,-99.241927,Vips,Emiliano Zapata No. 825 Tlaltenongo,Cuernavaca,Morelos,Mexico,Wine-Beer,none,informal,completely,medium,familiar,t,closed,none
135063,22.156724,-100.97555600000001,Restaurante Alhondiga,Alhondiga 62 Centro,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
135080,22.145007999999997,-100.997969,los Toneles,Estatuto Juridico 1040 Burocratas,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,f,closed,none
135000,18.870565,-99.226938,Restaurant los Pinos,Federal Mexico - Acapulco 10 3 de Mayo,Cuernavaca,Morelos,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
135066,22.16835,-100.972466,Restaurante Guerra,20 de Noviembre 1817 Tlaxcala,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,section,informal,no_accessibility,high,familiar,f,closed,none
135034,22.140517000000003,-101.021422,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
135060,22.156882999999997,-100.97848499999999,Restaurante Marisco Sam,Ignacio Allende 785 Centro,San Luis Potosi,San Luis Potosi,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,none
